texts,labels
艾尔海森你也太敏锐了吧，这种细节你居然记到现在…,5
而且，他现在也已经不是大风纪官了呢，一下子变得不那么吓人了。,5
怎么这样…,5
喂，干嘛不说话呀？,5
是这些须弥人看的书太复杂了啦，不能怪我…,5
完全不会说话，眼神也很涣散…但看起来完全不是做别人爷爷的年纪嘛。,5
走掉了呢…,5
就是你给拉赫曼那一拳，看起来够狠的…,5
…说得我都紧张了…,5
唔，说到前线作战，你看上去也不像一般的那些士兵啊。,5
唔…还有学者，也是高危职业…欸，你不也是学者嘛！,5
变成…饭桶？笨蛋？,5
跟这些懂医的人打交道，心好累呢…,5
真是给我们出了个难题啊，博士这个名字，听起来就很难对付呢…,5
呃！,5
欸！,5
连那个大贤者阿扎尔都成功被误导了，艾尔海森的计划真是不得了呢。,5
你还有心思说这个，纳西妲…,5
喂，你怎么了？脑袋一点一点的…,5
哎？！,5
工作这种事，实在是太累了…,5
我不知道才问你的嘛。,5
怎么了怎么了？,5
什么？！,5
说过他们不会再上门就是不会再上门了。,5
谢礼！那…那还说得过去…,5
呃…你…,5
可它看起来也不是普通的手提箱呀。,5
真不知道他在想什么…,5
快醒醒，现在就考虑这些，未免也太早了吧！,5
一百万摩拉？！,5
那…那好像也没什么了不起。,5
楼梯怎么在那边，这下子上不去了。,5
唔唔…,5
看来不能盯梢了…,5
嗯，对呀，虽说洋平和信悟没事，可被附身什么的，还是挺吓人的。,5
咦，还要继续想啊？！,5
我有点理解了。,5
唔，这种算是大家说的爽吗？,5
这幅画虽然画得很好，可看起来也阴森森的，有点吓人。,5
欸欸欸欸欸？！,5
稿费！！,5
呃…,5
上次在这里赶稿的时候，你给我们吃的只是最大众的炸串啊！,5
神子，这顿饭要好多好多钱呀，你就不怕我们付不起吗？,5
我是很想好好打招呼啦，但根本不知道从哪里开始接话…,5
复述故事就不要演了吧，说重点！,5
原来只是不认识路啊…,5
呃…就算你这么说…,5
既然这样，就叫你…大肉丸怎么样！稻妻的名字都是什么什么丸，这个刚刚好。,5
你什么都好，就是能不能…不要学菲谢尔笑…,5
咳咳，吃了一嘴灰…,5
能做的都做了，剩下那两座山怎么也解决不了…,5
总觉得没有道理…,5
好像什么俗套轻小说的销售套路一样…欲知后事如何，请购买下卷，什么的。,5
这种事有什么好骄傲的嘛。,5
对对，那个戴帽子的胖子看起来像没睡醒一样，老说胡话。,5
唔，卖唱的说得对…,5
这路还用你带？,5
算上去和回来要用的两次，不是明明还多出了一次嘛。,5
唔…,5
外面看起来已经很大了，结果里面的空间更大！,5
劳伦斯家的人都这样吗…面子大过天呢…,5
哎，可是我们没见过原来的形状…,5
喂，你们两个人走得那么慢，又凑在一起说什么呢？,5
不是攀比啦，是老戴不懂行！,5
我就是…想让他见识见识嘛…,5
这家伙，记性不好吧。,5
哎——？！,5
哎？,5
啊，我懂这种感觉呢！知道自己忘了一件事，却想不起具体是什么事。,5
唔…唔唔…,5
