texts,labels
下班后去加雨刮水，来到星辉中路的《美车堂》：车到门口，空无一人，等待许久，一人始出，开口便问，是否会员，不是会员，不予接待！,3
别个是女的我也是女的好吧。,3
大家一起加油！,1
我们去找~~~,0
最好的辛苦是想你想到哭泣。,0
唉…我仲以为乜。,2
瓦们闹木相像！！,0
我说她们，你臭美什么，真是的,3
挂住你撒~~真的真的,0
我曾经也愤青过，然后也为祖国骄傲过，然后慢慢的看到黑暗，越发觉得不是人呆的地方，想多写些东西如何如何，甚至感慨为什么没人站出来，后来想想大概民主在内外压力下，民族根性上不能得以实施，慢慢终于变成温和派，不理不问，回国的也为之高兴。,3
文海浩你的裤子影响了照片的质量。。。。。。。。,3
你把我的车弄脏了，我要拆了你的法拉利,4
互联网我错过了太多。,2
平胸也跟我一样一样的，嗲,0
唉，饿到一个不行,2
仟吉的什么呢？切片？？,0
这样不就失去新浪刷微博的乐趣了·····,2
是啊~我是因为家里没地方了不然再养只狗狗。今天差点买只大鹦鹉回家！,0
此刻周围还坐着不少人，我把那口本来美味却难以下咽的米粉使劲咽了下去，起身就走！,3
那为啥不开老沉的，那新入职的小孩招谁了,2
先发张温纯的照片上来吧，祝大家月饼节快乐~ps：相机拍的，感觉效果还可以，想过几天去扫描。,1
人家在车上也米有啊~~,3
我没有家六年没有得到任何补偿和安置！,4
讨厌鞭炮，这巨响的炮声让多少老年人为之惊吓，让多少孩子恐怖惧怕，为啥要把一个调节气氛的鞭炮发展成讨厌的巨炮了，为啥不能控制一下降低点这巨大的噪音强大的火力呢？,3
我不喜欢半夜出去玩``还不如一个人在家睡觉~,1
赔了三万七！他们肯定就是准备好讹钱的！先动手但是情愿被打！,0
体制内有理想的新闻人受到的最大痛苦是自己良心的拷问。,0
你最近相当低调啊！,0
你给了别个多少钱登这么大版？！！,0
一辈子的，可是姐昨天失态了，丢脸丢大了,2
4)勿忘国耻，牢记农夫与蛇的寓言。,0
钱掉了？,0
hoho~~~~~~~~~~~~哈哈偶不想当胖纸了！！！！！！,3
考成点啊~~~,2
我穿的连体短袖衣开始大便的时候全脱下去的，冷死我了,2
盐业全线涨停，国人愚昧莫大于此~,3
艹~不仗义!还没流氓约我呢,4
寂寞的人总是记住生命中出现的每一个人，正如我总是意犹未尽地想起你！,2
起的真早、都不用睡的你,0
我是回避还是起身就走？,3
这什么情况？又开了个号？,0
是的肥死我吧！,2
我为此感到骄傲和自豪。,1
扭曲的海宝嘛~,3
我真的！！！！！！！！！！！！！,4
记到你们遭报应的那一天..,4
诅咒你谎言成真，这是你该为你的欺骗付出的代价。,4
这才是你的舞台啊！！！,3
哇噻，我的花原来素李静偷去了！,0
颜颜，乃还不睡，在干嘛咧。,3
很快我要送出更好的东西啦！等着啊！,0
搞不懂！！,3
不过，再次祝：老一岁快乐哈！,1
6.遇见他青春闪了腰。,0
关键还是芒果太最错可！买了版权不播，播那个脑残的还猪格格。,4
打死我也不吃路边摊了，太恐怖了,3
看来我要从今晚哭到明天早上了~,2
润之，号被盗啦？,4
还没下班呢？,0
范冰冰总是说自己的许多绯闻是媒体制造的，可是你也改改自己的作风吧！,3
几天是我与我妈分离的第8天，还有8天就将实施强拆。,4
为什么中午去游滴。。。,0
好困阿，可是睡不着了。你呢？,2
不爱你时要什么没什么！,4
阿森纳球员从不使诈’教授从不教坏小盆友’所以阿尔沙文被推倒还把球射出去错失点球’枪手踢的是世上最华丽而又最老实的球风’我因此热爱他们,1
几千年用信仰修葺维护承载信仰心魂的寺庙宫观，一旦信仰零散，神灵无依，则神迹无存！,2
tttttt..血吧嗒吧嗒掉啊..ttttttt,2
圆都椭圆！！！！！！,3
你妹，想威胁我是不？,4
要是占了人家茅房主人拉的屎内个贱货也得收藏了啊？,4
爱你为了再转一遍这条，翻了高晓松十几页围脖，觉得他人还真挺好的歪。,1
给她铺上了垫子，快点好起来吧,1
现在我行动自由，思想反而更不自由了。整天想着现金流的问题！,0
不是！是一好朋友相处了四年感情有危机了！心里难受,2
但被唐僧收为徒弟后却变成了最菜的，哎可怜沙僧没了地理优势，连勇猛大胆的作风也丢了。,2
我是在你电脑上面打的~你才是坏掉的娃~~,3
老无所依已经够可怜了。,2
转发：赵何娟：如果说毛部分家人和部分左翼人士组成的所谓人民公诉团可要求公诉茅老，一个普通的知识份子，因言获罪；,0
越看越后悔没去现场有木有有木有！！！,2
蔡晓峰假装叫法医鉴订二次！,4
我不行了！！！,2
为同济大学开设外国留学生学上海话课程叫好！,1
这在我大学的痘痘时代用了好几个屡试不爽sampar欣蔓纯美平衡祛痘印液大家可去丝芙兰买哈蛮小的才6ml200多点,1
还是吃硫磺椒干炒避孕鳝好呢？,3
哇，我发现你也终于大叔了。,0
世风日下，暗无天日啊！！！,2
杨明杰公司里某个女老货闲的嘴疼~,3
数据一样的.轮毂大了轮胎薄了啊.16寸的确实抠了一点,2
便衣如今都自称流氓，开始动手打人！,4
整晚手在敲桌子，趴在在桌上翻来覆去，我去…,3
那他可得乐坏了~~,1
不是每个人都适合和你白头到老。,0
身边的人都要开开心心~,1
那是说什么的？？？,0
你就一小p孩！,3
价格很不可爱400多大洋一只,3
是啊，超白,1
来，每人两耳光！,4
妖精的尾巴，没生气，就是又要等一个礼拜有点小郁闷。,2
安小姐sb！！！！,3
一点半从单位粗乃现在才看上电影各种悲勒个催………,2
姐，你又不理我…,2
最近还经常做恶魔，开什么玩笑抓狂,4
下部分没有吗？去好多网站都蒙蒙的,1
境界啊！,1
来出面认错，或者，被千夫所指的苟且，湖南丢人。,3
恩恩，这话说地好~！,1
我要内奔了！！！,2
听着窗外的雨声，心中难以平静，浑身都觉得难受。,2
比如大英国家美术馆本人喜欢看画两天去了两次。,1
相信你还在这里，从不曾离去，我的爱像天使守护你。,1
急死啦！刷屏~车你快点不要震吖,0
国家赔偿的钱是不是人民纳税的钱~~~~,4
我们声讨！,4
绝对不可以！,4
这包打的，就两个字“坑爹”,2
啊。摸摸菊，,2
议员普遍反华，一遇选举就拿反华言论争取选票。,4
绝对靠谱不宰客。,1
你等等，我还没准备好，等我准备好到山脚下去接哈！,0
臭猴子……,3
什么都不用说2011最烂的电视剧,3
止步半决赛就是出了问题，那么为什么看不到作为一个青年教练隋菲菲连续两个赛季都把球队带进半决赛了！,4
想起陈翔的第一次商演是在徐州旅游节，当时也是一个很漂亮的舞台，我们期盼着守候着，结果听到了惊艳全场的《曹操》。,1
更不允许一个人来音乐教室，你那铜锣嗓子来音乐教室吼，被人听见，你好意思我还没面子呢！,3
第一缺乏体育道德，罗列一下范佩西职业生涯的红牌就知道了；第二缺乏责任感，在关键时刻无法承担本队的责任；这些都不应该是我们教孩子们去学习的东西,3
我也很困啊，谁还困，举个手！,0
我老公也是!!!,0
很多让你揪心的片段大集合啊！,1
所有人都看出来这种限制是一个笑话，还偏偏要一本正经地出台。,3
你想我死。。。,4
嗯嗯~这个可以努力一下~,0
曾经我不幸福，是因为我还未放下，沉浸在痛苦之中，如今我学会了遗忘，明白只有放下，我才会幸福！,2
我会给差评的亲！！！！！！！,4
在适当的时候做适当事~这是一门艺术~我相信我永远都学不会~也不耻去做！,3
满脑子都是舔屏幕的冲动啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊(快滚,3
中国社会变态到什么程度，看看这几天的媒体表现就知道了。,3
嘛玩意儿？,3
隔壁房的，能不要半夜洗衣服么？！,4
还得接上下班啊。。,3
我都道歉了呀，十年来你还不了解我么==,2
不知道管管啊!,4
我在这边等待，你在哪一方？,2
不要不承认事实。,3
那哪个是花卷咧？,3
这是浩浩？,0
相见恨晚！,0
为什么！,4
辛亥革命100周年之纪。,0
本市政府建设的体育场(馆)本来就不多，许多还挪作他用搞经营，如卢湾体育馆(乐购超市)、长宁体操中心、上海体育场等出租给大卖场，不向市民开放，其公益性如何体现？,3
嫂子我还单身呢？,2
啥晨光回来啊，一道养膘,2
哇，我完全看不出来了。你强,1
陈淮也是家狗一只，还是忠心耿耿的那种,3
可是我冷静了一下想到：如果删掉我铁定会后悔tttt我有茫然了,2
呢个米叫废柴咯！,3
我要努力我要努力！！！,1
恢复快乐周末也意味着这辈子这群人再不会一起在这个教室共同度过周末了！,2
这是肿么了？还有完没完了！,4
俺还没上传呢，传了告诉你！,0
该骂的骂，该夸得夸，何必躲在夜郎国里这么纠结呢？,3
我是个萝卜不假，花心滴你怎么知道？难道你脱了我滴包装吗？,4
折合人民币是多少啊？,2
泪饿死我算了！！！,2
这种心态十分不好。,3
别逼老娘发火！！！,4
这是哪呀？,2
对着同桌说了句：节日快乐！！…,1
救你妹的救助组织！！！！,4
烈马。你浪子讲搞的老子有这个癖好是没。杂种,0
你有本事连续几天不上围脖！不憋坏你,3
表情别这么的无辜！！！,1
一名记者代表了整个亚洲；,4
关于那个啥塞斯克的二奶的解释，转过来看看，这个女人，抹黑了小法一个人，还抹黑了中国球迷一个群体。,3
你悠着点拽哈...,3
代议制民主机构得监管。,0
高中的时候，希望拥有部手机。,0
都快到夏天的月份了，这鬼天气才刚刚给我们春天的感觉，总算是出太阳了。,3
这又怎滴、可周鹏的名气还不如快女滴,3
中国的单向支持系统依靠谎言维持，当谎言失效，就依靠暴力，暴力失效，就依靠革命，然后新瓶旧酒，循环往复，中国人是如此的怯懦，从药家鑫案可看出，他们宁可杀人，也不能为自己的行为负责任，接下来，他不敢伏法，这仍是不能对自己的行为负责。,3
很多地方都是业余水平，坑爹的事情随处可见，比如盲道。,3
英语好，却是中式愤青思维，哎。,2
我亲爱的朋友，幸福是选择，请坚强，请微笑，请顶住，无法远离混蛋就与混蛋厮混吧！,1
冉建新六月一日被神秘提出看守所，六月四日送医院之前暴死，这几天时间在哪里审讯，为什么要规避看守所预审室的录像？,4
尼玛，我回民哎，不吃猪肉的哎,4
呵呵、那些被我扔了、,2
政委身手不错呀~~呵呵~,1
我想做那女的~,1
烦人的事太多了、越想越烦！你还木有睡呀,3
不要把你的想法强加在我的身上和感情上好吗？,4
大师就是大师！,1
感谢上帝创造了这美丽的一切，好个爽爽的贵阳！,1
你那会多好啊，我们才遭罪呢,2
其规模之壮观，不仅超过了当时林立的酒楼和米店，也大大超过了现在无处不在的银行和房产中介。,1
倒是想呢，请不起啊，米老头太贵,3
我又想去故宫了。,2
很好吃，快餐生活,2
工管还是传播的？,0
让这一切开始的我们亚洲圈粉丝们，真心地表示对你们的感谢!!,1
很火的宝来纳，还有上海路上有一个叫后窗的墨西哥吧,3
阿姨为救猫甚至被他们关进图下的地窖里不被放出来，认真是好事，做点实事更好，谢谢,1
他上了警车我冒着风险拍了张照希望能帮老伯取回公道我只想说一句：你只是个城管！,4
那种不适感竟然在我脑海里留到现在，随便一个相关的话题都能令我记起。,3
大家辛苦了，你们真可爱。,1
把书店都搞没了，这学校就文明了吗？,3
我们期待更多的人参与进来，在这里也感谢对我上条微博留言支持并发表意见的朋友。,1
你缺不缺啊。,0
但是一直至今鉴订单子没有一张！,4
你会孤独？你只会使唤我！！,3
我曾经以为他没出息，以为他就床上那点儿本事。,3
这就是人生的悲哀。,2
再见我的朋友，夏天,2
用着不如老版习惯，就不谢你了,3
呵呵不好意思！,3
要的，下了课来。当然少不了,0
你不先谢谢我啊？！,2
我就起缺觉！？！,0
去屎吧你，明天找打五下,4
感觉你象王珞丹了~就这个表情，萌啊~,1
可见悲剧和喜剧都是从口出！,0
这看似有理，其实是行不通。,0
一起度假的美梦瞬间瓦解！,2
无比羡慕可惜我住不了赤坂啊…,1
兄弟我讨厌吗？,2
有时候妈妈必须装没听见。,0
不是啊，我只是表达不满而已！,3
”齐达内谈本泽马昨晚的表现,0
算是吧。但我情愿从来不曾拥有。,2
你那叫蜗居！,3
我在成都一天就晒黑了，奶奶的！,4
电脑悲剧了。,2
都考试了又去蒲，金生又夜不归宿啊。,3
纯sb啊！,3
生日快乐~,0
现在比机动车闯红灯更可怕的是行人和电动车穿红灯。,3
不论如何艰辛，请让我们并肩面对！,1
我玩的是香蕉的。他那是什么模式,0
▲我们大陆人往往不懂得倾听，很多人完全不知道染香在说什么。,0
那你完蛋了！注定你一辈子都浑浑噩噩！,2
七点得起来喂奶啊，哈，要继续睡觉啦,0
一个人怎么结啊？,2
团购的锥子？,0
没有人家杀你吃个屁啊，偷偷杀掉就是人道，活宰就是虐待动物？,4
麻辣隔壁！,4
尼玛你让这些去不了的真心想给金俊秀应援的苦逼孩子怎么想。。。,4
时间不对还能让你们看所？人才呀,3
武警也急了阿！！,4
嗯，我也这么想。今儿真累！,0
我也挺给力的。,3
额，你才是妖精吧。,3
无论如何，终免不了曲终人散的伤感。,2
大家都会的那能叫才艺吗？,3
你个瞎子，把老子推到水里，记到起,4
沿东海岸自驾探访不同海湾，也很有乐趣,1
关键时刻还是看怎么救给力，比个球民族素质，比个球民族性格啊！,3
南京下令砍树的土包子官员就不怕后人诅咒？,3
你们轮流请我吃饭，否则不给东西，请对号入座。,4
哈，原来是晶大美人儿,1
等待不苦，苦的是，没有希望的等待……,2
咋了兄弟？,2
快回来吧，你老婆想死你了,1
调个音量而已我总不会挪一下就保存一下啊！！！！,4
内心高贵、矜持，即使写灰尘，也要高贵地在空中跳一场舞才肯落地。,1
我这时恨不得我俩眼就是单反镜头能咔嚓咔嚓咔嚓啊。,1
你太强了，太有精力，那么早的班还跑海边,1
老子要把你的美瞳给你打出来！,4
在哪里啊？,2
怒怒亿跟万可有本质差别！,4
周五去哩…,0
我错啦..冇下次,3
心里莫名的就很难受。,2
不知几型！！,2
感觉会被吸进去，你不觉得吗?,0
我写的太多了写得太久了我自己都累了，你怎么还是看不懂？,3
是啊，要么罗卜丝那小子故意的。,3
有限的生命投入到无限的拍马屁中，生不如死啊。,3
银行客服，傻女人,3
使唔使饥渴成甘啊。。,2
这个问题很大，不是单纯的学生素质问题。,3
意思是说，某国没有民主，不能人人平等,0
哥要去睡美人觉了8哦~,0
都你不好！我被吊老了,2
跟谁死磕啊？您真挑对人了么！,4
那你命好至少是良家妇的男。哈哈哈,3
郁闷~还想说睡到4点起床看球....,2
不管怎么说，高晓松够爷们。,1
火锅耶！我也想吃！,1
额！你们是数学吧,0
来解救泸州人民吧！求你了，仙姑。,2
荡秋千..有木有,0
刚刚吃完一坨蛋糕~妈妈滴那个真的是巧克力鲜奶做的啊、哪里叫蛋糕嘛、鲜奶里面夹了少少的蛋糕、传统都颠覆了。,3
真是的……,4
嗯，让他们抓狂去吧~,3
没有吧，别信那些谣言啊！,0
威武在此我也向所有朋友推荐pure+,1
我就是去戳穿谎言！,0
照样想来，那十八个农民如果碰上现在的当权者，不知道会怎么死。,3
另外，在买单上，最高比例的是女人为女人买单(37%以上)，男人情何以堪,0
可怜的纳税人。。。,2
为什么？为什么？,3
1)放假一天，如果加班则3倍薪酬,0
这个团队的执行力是我不太敢恭维的，我必须时刻监督和督促他们完成。,3
我这个，就住一晚！,0
请问这是哪个画廊？,0
我也曾买过，可惜是假的。,2
淡定，果断停博十一天。,0
丫操行！,4
我宁愿听真唱的小瑕疵，也不愿意看这样糊弄观众的演出。,3
下雨呀？那有太阳吗？哈哈,0
日本再资源匮乏也不至于连储备食品也发不出吧？,3
物是人非就是这种感受。,2
看清楚这个才是真正的西皮真爱!,4
是啊，那去趟石家庄不也得花钱么。,0
你妹啊啊啊啊！,4
祝贺，祝贺！,1
你的大拇指被谁拿菜刀砍了？,4
ems显示6号上午已签收，我刚才去过收发室，人家说木有我的包裹。,4
md原来我穿4号我一定要减到0号身材--明天穿什么鞋子内衣呢。。。,4
儿子三岁半，不到1.2米。,0
悲剧啊！告！,2
亲我现在立马去切掉!,0
是额，鄙视,3
我可订到680的,0
各种杯具…想哭…,2
大家好，我是北京正在，今天是2011年3月2日，星期三，今天温度为6~-2摄氏度，晴间多云，北转南风2-3级，适宜外出。,0
你用函数买菜啊！,4
巴萨赢得应该是让人心服口服！,1
原来是这样啊？,2
自己一个人要好好照顾自己，我会经常回来看你的…,2
为让两位老人尽早解脱，72岁的岳先生替母寻找，希望好心人能助他找回那部珍贵的相机。,1
真感动，你是我的评论第一人啊…,1
他删了怕你恨他，所以跟你解释一下。,0
节日发个微博圈一圈开个玩笑就捆绑就抱腿了？,3
好萌啊。。。,1
委屈什么啊！这么狭义的事情,1
那我以后天天在这里放9个铜板，,0
告知加水，态度恶劣，无此服务！,3
愿他老人家在天堂快乐！蜡烛,1
不用啦一条就好表表心意。我在幕后默默支持就好。,1
老毛子的地方不好呆，空调都不给,3
老纸不淡定!,4
丢那妈。。。,4
你哭了吗？,2
这样下去还有谁看电视呢？,3
我琢磨着身无分文的情况下怎样把菜买回去。,0
这是什么砖家呀提倡带隐形眼镜提倡手术搞笑呢？,4
据传说相当漂亮。,1
必须是…纠结挣扎矛盾…,2
和当年的鬼子没有两样！,3
一个中国政法大学教授的微博就这样没有任何理由的注销了，多么的讽刺！,3
没有信仰算不算也是一种信仰呢？,1
我特么不爱伱就特么没人可爱了~！,4
拖鞋一通抽！,4
我已经肿了两个脖子不对称了，为啥最近淋巴肿呢？》,2
鼓掌花心可爱惨了亲亲~老邢带的是潘朵拉樱桃派的爵士水晶灰哦!,1
我拼了！！！,4
借钱不是问题，问题是您还钱没?,3
舍不得送人，你叫我当枕头啊！,2
高考语文作文真她妹变态，身边很多人没写完，出门时候还看到有人因为没写完哭了…,4
没问题的！,1
周五我可能后半夜去屯，你去么？,0
有春节全水屋的吗，四天五天都可以,0
我那有这么早碎啊，天不亮不碎叫的,0
有啥区别啊？？,0
到你做乜啊？,3
辛苦不怕，怕的是白辛苦！,4
你好，型男！,1
那找个舒服点的地方吧。上班够辛苦了，下班要方便点。,2
真适合我！,1
加完了不带解除的不带这么玩的！！！,3
面对此美景，相机无力承受啊。。。,1
昨晚给她开了手机的次摄像头，看见屏幕上的自己，异常有兴趣，马上伸着小手去抓手机，按屏幕，于是咔咔咔咔咔，便有了以下的相片，还不小心拍到一点点的本人了，哈哈，摄影技术有待提高哦！,1
叫帮你买一个！！！,4
啊~那你就4吧，不过不要买白的~白的好像假货,1
在干嘛~我睡醒了,0
希望以后还有很多个一周年。,1
前曰同顾云昌蔡鸿岩聊天，说起城市堵车形态。,0
向所有为中国科学事业奋斗的科研人员致以崇高的敬礼！,1
你以前？？？,0
我要拉松哥南门烤肉去！,1
最新一期哥伦比亚广播公司的《60分钟》节目第一段上来就是一则有关金融危机之后美国贫穷儿童的片子。,0
24f1.4一路走好突然想起阿杜那首《他一定很爱你》或者薛凯琪那部《分手说爱你》哥的d700驱动不了你，所以哥就把你送去帝都，那里的d3能够给你更快的速度，而且他很专一，你会成为他的主力。,2
打过去问他屏幕无故坏了是怎么回事，他什么都不回答，让我打去维修中心给我一个空号一个错号，再打过去竟然挂我电话！,3
有时候，突然很想哭，却难过的哭不出来；,2
一本日记拉下马一个局长；,4
下个月，这个还老是掉线，人人都打不开,3
每天电脑玩到1.2点还每天说自己没玩没玩，把老娘充的电用光了就在那里装b。,4
肿么不敢！！！,4
好歹咱也地下这么多年了…,3
砸了没？,0
难道你不想和我们同在？？,0
若，让夜停止清唱，只留下淡淡的剪影，是否我的惆怅，会随着夜的静止而宁静。,1
每天躲在床上不知道看什么a片。,4
可惜什么？,0
胖的如此好看好看，胖的如此性感感。,1
反正是要死，为什么不能牺牲！,4
这是作孽啊。,2
说什么？大声点啊！听不见呐!,4
我还看到你脸就哭!!!,2
去了工大才发现人类已经无法阻止我想读真正大学的想法了！,0
经鉴定，这是一条典型的日本杂种狗！,4
靠你娘的每天荡在老子身边说你那个男人怎么怎么样，靠，gay不是你这样做的！,4
我这就搞不懂了！,4
我有一个梦想：永远生活在新闻联播里，那里孩子都能上得起学，穷人都能看得起病，百姓住每月77元的廉租房，工资增长11%，大学生就业率达到99%。,3
咋个都要克看看你嘛！,1
欢迎孙总来美丽田园指导...,1
你什么脑呃.下次早点四点了钟喊我我给你送个爱心便当.,1
你总会有我的号码吧...没有你就死定了,4
期待开花中！,1
是啊。那个屁股翘翘的姐姐。哈哈,3
听着这话好辛酸啊…,2
好好好苦！惨绝人寰啊！你也请假,2
呜呜…计划赶不上变化！,2
看韩国的偶像歌舞表演感觉乱七八糟的一团，虽然手舞足蹈，但是歌和舞咋就那么分裂呢，还不如分成两个部分，要么听歌，要么看他(她)跳舞，最近几年发现台湾也变成这样了，这两年发现大陆也变成这样了！,3
献给即将到来的母亲节。,1
请息怒，让他自己吠吧，没人理他就得瑟不起来了,3
这天气，公司真的热得不行了。,3
快来快来。我一切就绪了,0
嗯，想起来了。。,0
劳教是斯大林古拉格中国版本的暴虐残余物，与任何现代法治的精神都不能相容。,0
你的生命里有没有这样一个人，总是在你最无助的时候出现，宁可让自己受委屈也要帮你解决问题，就算知道你早已心有所属，也强扯出微笑说不介意，这个人知道你喜欢什么讨厌什么，知道你所有的缺点，但，还是喜欢着你。,1
郁闷，无处发泄，听说你找了个模特儿？,2
还好改穿黄贝壳头了…限量？,3
木有钱吃饭啦。请问霍镇长能申请五保户吗,0
是啊-_-,2
有哪个家长会把健康食品给别人的孩子吃，然后给自己的孩子吃的都是有毒的？,3
你带着这句话，离开吧。,2
我想呀，可是我不敢啊。公主是不会放过我的。,2
老x，天天有此餐幸矣。,3
我会继续努力，保证不让阿姨失望。,1
李刚的儿子在撞死人之后河北大学的默不作声和全体学生的沉默，一时起河北大学成了最黑暗的大学以及最无能的大学。,4
早知道就定今天吃饭好了。。要么今天？,1
结束后的演员表才发现beth是薇诺娜演的啊，真没认出来，感觉没以前灵了，当然这个角色也没有发挥灵的空间，女二也挺眼熟的。,1
这是神马大会？？？,0
我们虽然工资低、但是我们工作多啊！,3
下赛季仲系曼城既话诅咒曼城被曼联双杀！！！,3
上火上火.,2
你呢嘎！屎猪头,4
你肿么了？我说的东子哈,0
没的找，要么就放，要么就给我找零钱去~~~一两天是无问题，一个礼拜！,3
大概被辐射死了-。-,0
谁来给我一刀吧！,4
谁说的？狗急还能跳墙呢,4
每次有新政出台就会有一批人富起来！,4
么啥，等人等到怒，仅此而已,4
我恨你！钱都输你了，现在牌都不让我抓！,4
网友尊称为女神，因为面貌以及身材比她的演技要出色的多。(其实演技越来越好了),2
为神马伤到的偏偏是右手食指！…,2
关键是讲的东西太恶心了，讲突尼斯城管，讲埃及贫富差距，讲利比亚独裁暴政，关键是讲这些是为了体现我们国家的好。,3
被告人的生命是宝贵的，只有一次，但受害人同样如此。,0
这是个命中注定要走向绝望的孩子，童年时父亲很暴力，14岁父母离异，为了生存被迫去饭馆里端盘子，曾被老板粗暴羞辱。,2
他注定只能是一个被唾弃的ex！！！！,3
司机大叔到站了也不叫我泪，自己锁门下车。,2
万科公司应该更名为慈善基金会公司。,0
我爱你，因为你穿越我心灵的旷野，如同阳光穿透水晶般容易，我的傻气，我的弱点，在你的目光里几乎不存在。,1
鄙视某政府啊！咋啦？,3
只是我看到这马卡龙时，很期待的问：能帮我拿几颗吗，服务生说很抱歉小姐，只拿来摆设，不提供给客人吃...,2
别急！马上到了啊~,0
相亲相的怎么样！,0
爆粗口。。。,4
今天就这样吧~~明天还要参加一个悲催又坑爹的考试····加油吧~~,2
哈哈差点妥协买某人那系列的思考不过还是我这个更帅气偷笑再得瑟下刚做好的徽章可爱太开心害羞.,1
李娜小时候还练过羽毛球你知道吗，我们都为她高兴，作为球迷你可以有自己的观点，但也要尊重与你不同的观点,4
你家有钱，你能一件毛衫穿一个月不换的吗？,3
但要互相相爱，竟这么难......,2
超级鄙视，你没去过大城市吗，难道成都不是大城市吗？丢人,3
感觉佢好可怜波…,2
